SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50027.6*A,AIRPORT,4AK7,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK MISSION STRIP,PR,PR,WOODRIVER HEIGHTS,3665 AIRCRAFT DR.,ANCHORAGE- AK 99502,    907-242-4173,RON SMITH,3665 AIRCRAFT DR.,ANCHORAGE- AK 99502,    907-242-4173,59-16-51.3240N,213411.3240N,158-35-49.9210W,570949.9210W,E,150,E,20E,1985,,KODIAK,1,NE,,ZAN,ZAN,ANCHORAGE,,,,N,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,,N,,O,,,NO OBJECTION,N,N,N,N,2,F,6231976,6212011,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,,,20,,06/23/1976,,,,,,,,N
50027.51*A,AIRPORT,Z25,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,TRIPOD,PU,PU,PUBLIC DOMAIN,,,,,,,,59-15-47.3250N,213347.3250N,158-33-27.9190W,570807.9190W,E,225,E,20E,1985,,KODIAK,2,SE,,ZAN,ZAN,ANCHORAGE,,,,N,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,01/01/1966,O,,,NO OBJECTION,N,N,N,N,S,C,6292007,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,0,,0,,12/31/2006,,,,,,,,N
50029.1*A,AIRPORT,6A8,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ALLAKAKET,ALLAKAKET,PU,PU,STATE OF AK/DOTPF/N REG,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-5230,JEREMY WORRALL,2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-5230,66-33-06.6000N,239586.6000N,152-37-19.8000W,549439.8000W,E,441,S,22E,2005,,FAIRBANKS,1,SSE,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,10/01/1999,O,,NGY,CONDITIONAL,,,,,F,C,9092011,8061999,,,,,,SEE RMK,SS-SR,N,,122.9,Y,CG,,,0,0,0,0,,,,,,1200,50,1000,20,12/31/2006,3RD PARTY SURVEY,2005-07-02 00:00:00.0,3RD PARTY SURVEY,2005-07-02 00:00:00.0,,TIE,,Y-L
50029.61*A,AIRPORT,AFM,09/20/2012,AAL,NONE,AK,ALASKA,NORTHWEST ARCTIC,AK,AMBLER,AMBLER,PU,PU,STATE OF AK DOTPF/N RGN,2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-2200,CALVIN SCHAEFFER,BOX 55,KOTZEBUE- AK 99752,    907-442-3147,67-06-22.7300N,241582.7300N,157-51-26.9000W,568286.9000W,E,334,E,21E,2000,,FAIRBANKS,1,N,  272,ZAN,ZAN,ANCHORAGE,,,,N,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,AFM,Y,,O,,NGY,NO OBJECTION,N,N,,Y,C,C,9092011,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.7,Y,CG,N,,1,0,0,0,,,,,,5000,,,,09/29/2009,STATE,2002-04-22 00:00:00.0,STATE,2002-04-22 00:00:00.0,,TIE,CHTR,Y-L
50031.*A,AIRPORT,80A,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,AMERICAN CREEK,AMERICAN CREEK,PU,PU,DNR-DIV. OF MINING- LAND- WATER,3700 AIRPORT WAY,FAIRBANKS- AK 99709,    907-451-2740,DON DE LIMA,PO BOX 56106,MANLEY HOT SPRINGS- AK 99756,    907-672-3181,65-06-06.1880N,234366.1880N,151-10-38.9290W,544238.9290W,E,500,E,26E,1985,,FAIRBANKS,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,08/01/1958,O,,,NOT ANALYZED,N,N,N,N,2,N,6101976,1202011,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,1,,,,,,,,,50,50,150,,06/10/1976,,,,,,,,N
50031.5*C,SEAPLANE BASE,AK81,09/20/2012,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AMOOK BAY,AMOOK BAY,PR,PR,MIKE MUNSEY,AMOOK PASS,KODIAK- AK 99615,,MIKE MUNSEY,AMOOK PASS,KODIAK- AK 99615,    907-847-2203,57-28-17.3770N,206897.3770N,153-48-55.2980W,553735.2980W,E,0,E,22E,1985,,KODIAK,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,06/01/1963,O,,,NOT ANALYZED,N,N,N,N,2,N,6121978,2012011,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,50,100,20,,06/12/1978,,,,,,,,N
50032.*A,AIRPORT,AKP,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ANAKTUVUK PASS,ANAKTUVUK PASS,PU,PU,NORTH SLOPE BOROUGH,BOX 69,BARROW- AK 99723,    907-852-2611,TOM D. NICOLOS,BOX 69,BARROW- AK 99723,    907-852-0371,68-08-00.9500N,245280.9500N,151-44-36.0300W,546276.0300W,E,2102,S,21E,2010,,POINT BARROW,0,SE,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,AKP,Y,08/01/1963,O,,NGY,NO OBJECTION,N,N,N,Y,C,C,8222009,11171992,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,122.8,122.8,N,CG,N,,,,,,,,,,,3200,,400,,12/31/2005,AVN,2003-06-16 00:00:00.0,AVN,2003-06-16 00:00:00.0,,TIE,,N
50037.3*A,AIRPORT,AK00,09/20/2012,AAL,NONE,AK,ALASKA,KENAI PENINSULA,AK,ANCHOR POINT,ANCHOR RIVER AIRPARK,PR,PR,ANCHOR RIVER AIRPARK OWNERS ASSOC,PO BOX 913,ANCHOR POINT- AK 99556,    907-235-0789,JIM DRESS,PO BOX 104,ANCHOR POINT- AK 99556,    907-235-0789,59-47-48.0000N,215268.0000N,151-51-48.0000W,546708.0000W,E,120,E,22E,1995,800,KODIAK,1,NW,   12,ZAN,ZAN,ANCHORAGE,,,,,HOM,HOMER,907-235-8588,LC235-8588,ENA,KENAI,1-866-864-1737,,,02/01/2000,O,,,NO OBJECTION,,,,,2,N,2012000,2242011,,,,,,,,N,,,N,,,,10,,,2,,,,,,,,,,,,,,,,,,Y
50037.31*A,AIRPORT,00AK,09/20/2012,AAL,NONE,AK,ALASKA,SEWARD,AK,ANCHOR POINT,LOWELL FIELD,PR,PR,DAN PRESLEY,24436 MISTY LANE,ANCHOR POINT- AK 99556,    907-398-6664,DAN PRESLEY,24436 MISTY LANE,ANCHOR POINT- AK 99556,    907-567-3986,59-51-22.0000N,215482.0000N,151-41-46.5500W,546106.5500W,E,252,E,,,,SEWARD,6,NE,  200,ZAN,ZAN,ANCHORAGE,,,,,HOM,HOMER,907-235-8588,LC235-8588,ENA,KENAI,1-866-864-1737,,,05/01/2006,O,,,NO OBJECTION,,,,,2,N,,4182012,,,,,,,,N,,,,,,,2,,,,,,,,,,,,,,NACO,2006-08-29 00:00:00.0,OWNER,2012-04-18 00:00:00.0,,,,
50033.1*H,HELIPORT,2OK,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ALASKA RGNL HOSPITAL,PU,PU,MUNI OF ANCHORAGE,800 MERRILL FIELD DR.,ANCHORAGE- AK 99501-4129,    907-343-6305,DAVID LUNDEBY,800 MERRILL FIELD DR.,ANCHORAGE- AK 99501-4129,    907-343-6305,61-12-42.8000N,220362.8000N,149-49-38.5300W,539378.5300W,E,137,E,24E,1990,,ANCHORAGE,0,E,  426,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,03/01/1993,O,,GY,NO OBJECTION,,,,,F,C,8052005,2031993,100  B+,,,,,,SEE RMK,N,122.95,126,N,CG,,Y,,,,,,,,,,,,,,08/05/2005,REGION,2002-07-09 00:00:00.0,,,,,,Y-L
50033.5*A,AIRPORT,A13,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,BOLD,PU,PU,STATE OF ALASKA- DNR,18620 SEWARD HWY,ANCHORAGE- AK 99516,    907-688-0910,KEITH WILSON- PARK RANGER,DNR- DIV OF PARKS & OUTDOOR REC- 18620 SEWARD HWY,ANCHORAGE- AK 99516,    907-688-0910,61-20-28.8200N,220828.8200N,148-59-55.9700W,536395.9700W,E,900,E,25E,1985,,ANCHORAGE,30,ENE,,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,08/01/1990,O,,,NOT ANALYZED,,,,,S,S,8122011,5161990,,,,,,,,N,,122.9,N,,,,,,,,,,,,,,,200,,05/31/2011,REGION,2002-05-14 00:00:00.0,,,,TIE,,Y
50033.*A,AIRPORT,CSR,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,CAMPBELL AIRSTRIP,PU,PR,U S GOVT BLM,4700 B.L. M. RD,ANCHORAGE- AK 99507,    907-267-1378,NICHOLAS STROHMEYER,4700 B.L. M. RD,ANCHORAGE- AK 99507,    907-267-1378,61-09-31.3200N,220171.3200N,149-46-50.2000W,539210.2000W,E,286,S,25E,1985,,ANCHORAGE,4,SE, 4201,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,,O,,,NOT ANALYZED,N,N,N,,2,N,5291979,9152011,,NONE,NONE,NONE,NONE,,,N,,127.45,N,,N,,,,,,,,,,,,500,,100,05/29/1979,ADO,2002-04-25 00:00:00.0,,,,,CARGO,Y
50033.2*H,HELIPORT,AK82,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,CAMPBELL BLM,PU,PR,U S GOVT BLM,4700 BLM ROAD,ANCHORAGE- AK 99507,    907-267-1378,NICHOLAS STROHMEYER,4700 BLM RD,ANCHORAGE- AK 99507,    907-267-1378,61-09-22.0700N,220162.0700N,149-47-32.2800W,539252.2800W,E,235,E,25E,1985,,ANCHORAGE,4,SE,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,01/01/1971,O,,,NO OBJECTION,N,N,N,Y,2,F,5221979,9152011,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,,1500,,100,05/22/1979,REGION,2002-08-15 00:00:00.0,,,,,CARGO,Y
50035.2*C,SEAPLANE BASE,3C3,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,CAMPBELL LAKE SPB,PR,PU,CAMPBELL LAKE OWNERS INC,9500 INDEPENDENCE DR,ANCHORAGE- AK 99507,    907-522-5000,DR. JOHN SPARAGA,9500 INDEPENDENCE DR,ANCHORAGE- AK 99507,    907-522-5000,61-07-59.0200N,220079.0200N,149-56-30.8400W,539790.8400W,E,20,E,,,,ANCHORAGE,3,SW,,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,,06/01/2004,O,,,NO OBJECTION,,,,,,S,8122011,6132002,,,,,,,,N,,122.9,,,,,70,,,,,,,,,,1200,50,,01/16/2009,OWNER,2002-06-13 00:00:00.0,OWNER,2002-06-13 00:00:00.0,,,,Y
50036.*A,AIRPORT,EDF,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ELMENDORF AFB,MA,PR,U S GOVT USAF,30SS/DOFJ,ELMENDORF AFB- AK 99506,    907-552-2107,AIRFIELD MGR,300SS/DOFJ,ELMENDORF AFB- AK 99506,    907-552-2444,61-15-04.8500N,220504.8500N,149-48-23.4500W,539303.4500W,E,212,S,21E,2005,,ANCHORAGE,3,NE,,ZAN,ZAN,ANCHORAGE,,,,N,EDF,ELMENDORF,,,,,,PAED,Y,03/01/1949,O,,,NO OBJECTION,N,N,N,Y,,N,7231979,2151994,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,,N,CG,,,14,1,,,,69,,,,,7600,500,78500,07/23/1979,NGS,,MILITARY,,,,CARGO,Y
50036.01*H,HELIPORT,AK91,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ELMENDORF HOSPITAL,MA,PR,US GOVT USAF,3OSS/DOF,ELMENDORF AFB- AK 99506,    907-552-2444,AIRFIELD MANAGER,3OSS/DOF,ELMENDORF AFB- AK 99506,    907-552-2444,61-14-23.0230N,220463.0230N,149-44-57.9280W,539097.9280W,E,228,E,25E,1985,,ANCHORAGE,3,E,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,08/01/1966,O,,,NOT ANALYZED,N,N,N,,,N,7231979,1291992,,NONE,NONE,NONE,NONE,SEE RMK,,N,,,N,,N,,,,,,,,,,,,,,100,07/23/1979,,,,,,,CARGO,Y
50036.02*A,AIRPORT,6AK5,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,FIRE ISLAND,PU,PR,US GOVT DOT FAA,700 N. BONIFACE PKWY,ANCHORAGE- AK 99506,,DISTRICT OFFICE MANAGER,ANCHORAGE TECHNICAL OPERATIONS,ANCHORAGE- AK 99501,    907-269-1138,61-10-06.0140N,220206.0140N,150-09-37.9930W,540577.9930W,E,55,E,25E,1985,,ANCHORAGE,7,SW,   30,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,,O,,,NO OBJECTION,N,N,N,N,2,F,5191976,9272011,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,,100,200,,05/19/1976,,,,,,,CARGO,Y
50033.4*A,AIRPORT,AK12,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,FLYING CROWN,PR,PR,FLYING CROWN/OCEANVIEW NORTH,910 HARBOR CIRCLE,ANCHORAGE- AK 99515,    907-245-1932,CHARLES FRYER,910 HARBOR CIRCLE,ANCHORGE- AK 99515,    907-245-1932,61-06-23.7600N,219983.7600N,149-51-51.3700W,539511.3700W,E,150,E,25E,1985,,ANCHORAGE,6,S,    6,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,03/01/1990,O,,,NOT ANALYZED,,,,,2,N,,9222011,,,,,,,,N,,,N,,,,27,,,,,,,,,,3000,100,,,ADO,2002-04-25 00:00:00.0,OWNER,2011-08-23 00:00:00.0,,,,Y
50037.*C,SEAPLANE BASE,LHD,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,LAKE HOOD,PU,PU,STATE OF AK -- DOT&PF,PO BOX 196960,ANCHORAGE- AK 99519-6960,    907-266-2741,ANDY HUTZEL,STATE OF AK -- DOT&PF- PO BOX 196960,ANCHORAGE- AK 99519-6960,    907-266-2741,61-10-48.0130N,220248.0130N,149-58-18.9560W,539898.9560W,E,71,E,25E,1985,,ANCHORAGE,3,SW,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,LHD,Y,06/01/1947,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,6132011,,100  A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,,126.8,N,CG,N,,760,21,,,,,,,,20000,40000,500,0,05/31/2011,STATE,2010-06-23 00:00:00.0,STATE,2010-06-23 00:00:00.0,,HGR,BCHGR-CARGO,Y
